Particular Baptist Devotional - 365-Day Schedule
====================================================================================================

Day   1 | Jan 1      | Catechism  | Q&A #1               | The Baptist Catechism (Keach's)
Day   2 | Jan 2      | 1LBCF      | Article 1            | The Holy Scriptures
Day   3 | Jan 3      | 2LBCF      | Ch. 1 §1            | Of the Holy Scriptures
Day   4 | Jan 4      | Catechism  | Q&A #2               | The Baptist Catechism (Keach's)
Day   5 | Jan 5      | 1LBCF      | Article 2            | Of God
Day   6 | Jan 6      | 2LBCF      | Ch. 1 §2            | Of the Holy Scriptures
Day   7 | Jan 7      | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day   8 | Jan 8      | Catechism  | Q&A #3               | The Baptist Catechism (Keach's)
Day   9 | Jan 9      | 1LBCF      | Article 3            | Of the Decrees of God
Day  10 | Jan 10     | 2LBCF      | Ch. 1 §3            | Of the Holy Scriptures
Day  11 | Jan 11     | Catechism  | Q&A #4               | The Baptist Catechism (Keach's)
Day  12 | Jan 12     | 1LBCF      | Article 4            | Of Creation
Day  13 | Jan 13     | 2LBCF      | Ch. 1 §4            | Of the Holy Scriptures
Day  14 | Jan 14     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day  15 | Jan 15     | Catechism  | Q&A #5               | The Baptist Catechism (Keach's)
Day  16 | Jan 16     | 1LBCF      | Article 5            | Of Providence
Day  17 | Jan 17     | 2LBCF      | Ch. 1 §5            | Of the Holy Scriptures
Day  18 | Jan 18     | Catechism  | Q&A #6               | The Baptist Catechism (Keach's)
Day  19 | Jan 19     | 1LBCF      | Article 6            | Of the Fall and Original Sin
Day  20 | Jan 20     | 2LBCF      | Ch. 1 §6            | Of the Holy Scriptures
Day  21 | Jan 21     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day  22 | Jan 22     | Catechism  | Q&A #7               | The Baptist Catechism (Keach's)
Day  23 | Jan 23     | 1LBCF      | Article 7            | Of the Covenant of God
Day  24 | Jan 24     | 2LBCF      | Ch. 1 §7            | Of the Holy Scriptures
Day  25 | Jan 25     | Catechism  | Q&A #8               | The Baptist Catechism (Keach's)
Day  26 | Jan 26     | 1LBCF      | Article 8            | Of Christ the Mediator
Day  27 | Jan 27     | 2LBCF      | Ch. 1 §8            | Of the Holy Scriptures
Day  28 | Jan 28     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day  29 | Jan 29     | Catechism  | Q&A #9               | The Baptist Catechism (Keach's)
Day  30 | Jan 30     | 1LBCF      | Article 9            | Of Free Will
Day  31 | Jan 31     | 2LBCF      | Ch. 1 §9            | Of the Holy Scriptures
Day  32 | Feb 1      | Catechism  | Q&A #10              | The Baptist Catechism (Keach's)
Day  33 | Feb 2      | 1LBCF      | Article 10           | Of Effectual Calling
Day  34 | Feb 3      | 2LBCF      | Ch. 1 §10           | Of the Holy Scriptures
Day  35 | Feb 4      | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day  36 | Feb 5      | Catechism  | Q&A #11              | The Baptist Catechism (Keach's)
Day  37 | Feb 6      | 1LBCF      | Article 11           | Of Justification
Day  38 | Feb 7      | 2LBCF      | Ch. 2 §1            | Of God and of the Holy Trinity
Day  39 | Feb 8      | Catechism  | Q&A #12              | The Baptist Catechism (Keach's)
Day  40 | Feb 9      | 1LBCF      | Article 12           | Of Adoption
Day  41 | Feb 10     | 2LBCF      | Ch. 2 §2            | Of God and of the Holy Trinity
Day  42 | Feb 11     | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day  43 | Feb 12     | Catechism  | Q&A #13              | The Baptist Catechism (Keach's)
Day  44 | Feb 13     | 1LBCF      | Article 13           | Of Sanctification
Day  45 | Feb 14     | 2LBCF      | Ch. 2 §3            | Of God and of the Holy Trinity
Day  46 | Feb 15     | Catechism  | Q&A #14              | The Baptist Catechism (Keach's)
Day  47 | Feb 16     | 1LBCF      | Article 14           | Of Saving Faith
Day  48 | Feb 17     | 2LBCF      | Ch. 3 §1            | Of God's Decree
Day  49 | Feb 18     | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day  50 | Feb 19     | Catechism  | Q&A #15              | The Baptist Catechism (Keach's)
Day  51 | Feb 20     | 1LBCF      | Article 15           | Of Repentance and Salvation
Day  52 | Feb 21     | 2LBCF      | Ch. 3 §2            | Of God's Decree
Day  53 | Feb 22     | Catechism  | Q&A #16              | The Baptist Catechism (Keach's)
Day  54 | Feb 23     | 1LBCF      | Article 16           | Of Good Works
Day  55 | Feb 24     | 2LBCF      | Ch. 3 §3            | Of God's Decree
Day  56 | Feb 25     | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day  57 | Feb 26     | Catechism  | Q&A #17              | The Baptist Catechism (Keach's)
Day  58 | Feb 27     | 1LBCF      | Article 17           | Of Perseverance of Saints
Day  59 | Feb 28     | 2LBCF      | Ch. 3 §4            | Of God's Decree
Day  60 | Mar 1      | Catechism  | Q&A #18              | The Baptist Catechism (Keach's)
Day  61 | Mar 2      | 1LBCF      | Article 18           | Of the Assurance of Salvation
Day  62 | Mar 3      | 2LBCF      | Ch. 3 §5            | Of God's Decree
Day  63 | Mar 4      | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day  64 | Mar 5      | Catechism  | Q&A #19              | The Baptist Catechism (Keach's)
Day  65 | Mar 6      | 1LBCF      | Article 19           | Of the Law of God
Day  66 | Mar 7      | 2LBCF      | Ch. 3 §6            | Of God's Decree
Day  67 | Mar 8      | Catechism  | Q&A #20              | The Baptist Catechism (Keach's)
Day  68 | Mar 9      | 1LBCF      | Article 20           | Of the Gospel
Day  69 | Mar 10     | 2LBCF      | Ch. 3 §7            | Of God's Decree
Day  70 | Mar 11     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day  71 | Mar 12     | Catechism  | Q&A #21              | The Baptist Catechism (Keach's)
Day  72 | Mar 13     | 1LBCF      | Article 21           | Of Christian Liberty
Day  73 | Mar 14     | 2LBCF      | Ch. 4 §1            | Of Creation
Day  74 | Mar 15     | Catechism  | Q&A #22              | The Baptist Catechism (Keach's)
Day  75 | Mar 16     | 1LBCF      | Article 22           | Of Worship and the Sabbath
Day  76 | Mar 17     | 2LBCF      | Ch. 4 §2            | Of Creation
Day  77 | Mar 18     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day  78 | Mar 19     | Catechism  | Q&A #23              | The Baptist Catechism (Keach's)
Day  79 | Mar 20     | 1LBCF      | Article 23           | Of Oaths and Vows
Day  80 | Mar 21     | 2LBCF      | Ch. 4 §3            | Of Creation
Day  81 | Mar 22     | Catechism  | Q&A #24              | The Baptist Catechism (Keach's)
Day  82 | Mar 23     | 1LBCF      | Article 24           | Of the Civil Magistrate
Day  83 | Mar 24     | 2LBCF      | Ch. 4 §4            | Of Creation
Day  84 | Mar 25     | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day  85 | Mar 26     | Catechism  | Q&A #25              | The Baptist Catechism (Keach's)
Day  86 | Mar 27     | 1LBCF      | Article 25           | Of Marriage
Day  87 | Mar 28     | 2LBCF      | Ch. 5 §1            | Of Divine Providence
Day  88 | Mar 29     | Catechism  | Q&A #26              | The Baptist Catechism (Keach's)
Day  89 | Mar 30     | 1LBCF      | Article 26           | Of the Church
Day  90 | Mar 31     | 2LBCF      | Ch. 5 §2            | Of Divine Providence
Day  91 | Apr 1      | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day  92 | Apr 2      | Catechism  | Q&A #27              | The Baptist Catechism (Keach's)
Day  93 | Apr 3      | 1LBCF      | Article 27           | Of Communion of Saints
Day  94 | Apr 4      | 2LBCF      | Ch. 5 §3            | Of Divine Providence
Day  95 | Apr 5      | Catechism  | Q&A #28              | The Baptist Catechism (Keach's)
Day  96 | Apr 6      | 1LBCF      | Article 28           | Of Baptism and the Lord's Supper
Day  97 | Apr 7      | 2LBCF      | Ch. 5 §4            | Of Divine Providence
Day  98 | Apr 8      | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day  99 | Apr 9      | Catechism  | Q&A #29              | The Baptist Catechism (Keach's)
Day 100 | Apr 10     | 1LBCF      | Article 29           | Of Baptism
Day 101 | Apr 11     | 2LBCF      | Ch. 5 §5            | Of Divine Providence
Day 102 | Apr 12     | Catechism  | Q&A #30              | The Baptist Catechism (Keach's)
Day 103 | Apr 13     | 1LBCF      | Article 30           | Of the Lord's Supper
Day 104 | Apr 14     | 2LBCF      | Ch. 5 §6            | Of Divine Providence
Day 105 | Apr 15     | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 106 | Apr 16     | Catechism  | Q&A #31              | The Baptist Catechism (Keach's)
Day 107 | Apr 17     | 1LBCF      | Article 31           | Of the State after Death
Day 108 | Apr 18     | 2LBCF      | Ch. 5 §7            | Of Divine Providence
Day 109 | Apr 19     | Catechism  | Q&A #32              | The Baptist Catechism (Keach's)
Day 110 | Apr 20     | 1LBCF      | Article 32           | Of the Last Judgment
Day 111 | Apr 21     | 2LBCF      | Ch. 6 §1            | Of the Fall of Man
Day 112 | Apr 22     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 113 | Apr 23     | Catechism  | Q&A #33              | The Baptist Catechism (Keach's)
Day 114 | Apr 24     | 1LBCF      | Article 33           | Of Scripture's Perfection
Day 115 | Apr 25     | 2LBCF      | Ch. 6 §2            | Of the Fall of Man
Day 116 | Apr 26     | Catechism  | Q&A #34              | The Baptist Catechism (Keach's)
Day 117 | Apr 27     | 1LBCF      | Article 34           | Of the Rule of Faith
Day 118 | Apr 28     | 2LBCF      | Ch. 6 §3            | Of the Fall of Man
Day 119 | Apr 29     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 120 | Apr 30     | Catechism  | Q&A #35              | The Baptist Catechism (Keach's)
Day 121 | May 1      | 1LBCF      | Article 35           | Of Judgment of Controversies
Day 122 | May 2      | 2LBCF      | Ch. 6 §4            | Of the Fall of Man
Day 123 | May 3      | Catechism  | Q&A #36              | The Baptist Catechism (Keach's)
Day 124 | May 4      | 1LBCF      | Article 36           | Of Private Judgment
Day 125 | May 5      | 2LBCF      | Ch. 6 §5            | Of the Fall of Man
Day 126 | May 6      | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day 127 | May 7      | Catechism  | Q&A #37              | The Baptist Catechism (Keach's)
Day 128 | May 8      | 1LBCF      | Article 37           | Of Creeds and Confessions
Day 129 | May 9      | 2LBCF      | Ch. 6 §6            | Of the Fall of Man
Day 130 | May 10     | Catechism  | Q&A #38              | The Baptist Catechism (Keach's)
Day 131 | May 11     | 1LBCF      | Article 38           | Of the Church's Authority
Day 132 | May 12     | 2LBCF      | Ch. 7 §1            | Of God's Covenant
Day 133 | May 13     | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day 134 | May 14     | Catechism  | Q&A #39              | The Baptist Catechism (Keach's)
Day 135 | May 15     | 1LBCF      | Article 39           | Of Church Councils
Day 136 | May 16     | 2LBCF      | Ch. 7 §2            | Of God's Covenant
Day 137 | May 17     | Catechism  | Q&A #40              | The Baptist Catechism (Keach's)
Day 138 | May 18     | 1LBCF      | Article 40           | Of the Visible Church
Day 139 | May 19     | 2LBCF      | Ch. 7 §3            | Of God's Covenant
Day 140 | May 20     | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day 141 | May 21     | Catechism  | Q&A #41              | The Baptist Catechism (Keach's)
Day 142 | May 22     | 1LBCF      | Article 41           | Of Officers of the Church
Day 143 | May 23     | 2LBCF      | Ch. 8 §1            | Of Christ the Mediator
Day 144 | May 24     | Catechism  | Q&A #42              | The Baptist Catechism (Keach's)
Day 145 | May 25     | 1LBCF      | Article 42           | Of Church Censures
Day 146 | May 26     | 2LBCF      | Ch. 8 §2            | Of Christ the Mediator
Day 147 | May 27     | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day 148 | May 28     | Catechism  | Q&A #43              | The Baptist Catechism (Keach's)
Day 149 | May 29     | 1LBCF      | Article 43           | Of the Power of the Keys
Day 150 | May 30     | 2LBCF      | Ch. 8 §3            | Of Christ the Mediator
Day 151 | May 31     | Catechism  | Q&A #44              | The Baptist Catechism (Keach's)
Day 152 | Jun 1      | 1LBCF      | Article 44           | Of Calling to Office
Day 153 | Jun 2      | 2LBCF      | Ch. 8 §4            | Of Christ the Mediator
Day 154 | Jun 3      | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 155 | Jun 4      | Catechism  | Q&A #45              | The Baptist Catechism (Keach's)
Day 156 | Jun 5      | 1LBCF      | Article 45           | Of the Sacraments
Day 157 | Jun 6      | 2LBCF      | Ch. 8 §5            | Of Christ the Mediator
Day 158 | Jun 7      | Catechism  | Q&A #46              | The Baptist Catechism (Keach's)
Day 159 | Jun 8      | 1LBCF      | Article 46           | Of the Word and Sacraments
Day 160 | Jun 9      | 2LBCF      | Ch. 8 §6            | Of Christ the Mediator
Day 161 | Jun 10     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 162 | Jun 11     | Catechism  | Q&A #47              | The Baptist Catechism (Keach's)
Day 163 | Jun 12     | 1LBCF      | Article 47           | Of Infant Membership
Day 164 | Jun 13     | 2LBCF      | Ch. 8 §7            | Of Christ the Mediator
Day 165 | Jun 14     | Catechism  | Q&A #48              | The Baptist Catechism (Keach's)
Day 166 | Jun 15     | 1LBCF      | Article 48           | Of Covenant Children
Day 167 | Jun 16     | 2LBCF      | Ch. 8 §8            | Of Christ the Mediator
Day 168 | Jun 17     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 169 | Jun 18     | Catechism  | Q&A #49              | The Baptist Catechism (Keach's)
Day 170 | Jun 19     | 1LBCF      | Article 49           | Of Church Discipline
Day 171 | Jun 20     | 2LBCF      | Ch. 8 §9            | Of Christ the Mediator
Day 172 | Jun 21     | Catechism  | Q&A #50              | The Baptist Catechism (Keach's)
Day 173 | Jun 22     | 1LBCF      | Article 50           | Of Communion of Churches
Day 174 | Jun 23     | 2LBCF      | Ch. 8 §10           | Of Christ the Mediator
Day 175 | Jun 24     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day 176 | Jun 25     | Catechism  | Q&A #51              | The Baptist Catechism (Keach's)
Day 177 | Jun 26     | 1LBCF      | Article 51           | Of Civil Government and Religion
Day 178 | Jun 27     | 2LBCF      | Ch. 9 §1            | Of Free Will
Day 179 | Jun 28     | Catechism  | Q&A #52              | The Baptist Catechism (Keach's)
Day 180 | Jun 29     | 1LBCF      | Article 52           | Of the Final State
Day 181 | Jun 30     | 2LBCF      | Ch. 9 §2            | Of Free Will
Day 182 | Jul 1      | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day 183 | Jul 2      | Catechism  | Q&A #53              | The Baptist Catechism (Keach's)
Day 184 | Jul 3      | 2LBCF      | Ch. 9 §3            | Of Free Will
Day 185 | Jul 4      | 2LBCF      | Ch. 9 §4            | Of Free Will
Day 186 | Jul 5      | Catechism  | Q&A #54              | The Baptist Catechism (Keach's)
Day 187 | Jul 6      | 2LBCF      | Ch. 9 §5            | Of Free Will
Day 188 | Jul 7      | 2LBCF      | Ch. 10 §1           | Of Effectual Calling
Day 189 | Jul 8      | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day 190 | Jul 9      | Catechism  | Q&A #55              | The Baptist Catechism (Keach's)
Day 191 | Jul 10     | 2LBCF      | Ch. 10 §2           | Of Effectual Calling
Day 192 | Jul 11     | 2LBCF      | Ch. 10 §3           | Of Effectual Calling
Day 193 | Jul 12     | Catechism  | Q&A #56              | The Baptist Catechism (Keach's)
Day 194 | Jul 13     | 2LBCF      | Ch. 10 §4           | Of Effectual Calling
Day 195 | Jul 14     | 2LBCF      | Ch. 11 §1           | Of Justification
Day 196 | Jul 15     | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day 197 | Jul 16     | Catechism  | Q&A #57              | The Baptist Catechism (Keach's)
Day 198 | Jul 17     | 2LBCF      | Ch. 11 §2           | Of Justification
Day 199 | Jul 18     | 2LBCF      | Ch. 11 §3           | Of Justification
Day 200 | Jul 19     | Catechism  | Q&A #58              | The Baptist Catechism (Keach's)
Day 201 | Jul 20     | 2LBCF      | Ch. 11 §4           | Of Justification
Day 202 | Jul 21     | 2LBCF      | Ch. 11 §5           | Of Justification
Day 203 | Jul 22     | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 204 | Jul 23     | Catechism  | Q&A #59              | The Baptist Catechism (Keach's)
Day 205 | Jul 24     | 2LBCF      | Ch. 12 §1           | Of Adoption
Day 206 | Jul 25     | 2LBCF      | Ch. 13 §1           | Of Sanctification
Day 207 | Jul 26     | Catechism  | Q&A #60              | The Baptist Catechism (Keach's)
Day 208 | Jul 27     | 2LBCF      | Ch. 13 §2           | Of Sanctification
Day 209 | Jul 28     | 2LBCF      | Ch. 13 §3           | Of Sanctification
Day 210 | Jul 29     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 211 | Jul 30     | Catechism  | Q&A #61              | The Baptist Catechism (Keach's)
Day 212 | Jul 31     | 2LBCF      | Ch. 14 §1           | Of Saving Faith
Day 213 | Aug 1      | 2LBCF      | Ch. 14 §2           | Of Saving Faith
Day 214 | Aug 2      | Catechism  | Q&A #62              | The Baptist Catechism (Keach's)
Day 215 | Aug 3      | 2LBCF      | Ch. 14 §3           | Of Saving Faith
Day 216 | Aug 4      | 2LBCF      | Ch. 15 §1           | Of Repentance unto Life
Day 217 | Aug 5      | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 218 | Aug 6      | Catechism  | Q&A #63              | The Baptist Catechism (Keach's)
Day 219 | Aug 7      | 2LBCF      | Ch. 15 §2           | Of Repentance unto Life
Day 220 | Aug 8      | 2LBCF      | Ch. 15 §3           | Of Repentance unto Life
Day 221 | Aug 9      | Catechism  | Q&A #64              | The Baptist Catechism (Keach's)
Day 222 | Aug 10     | 2LBCF      | Ch. 15 §4           | Of Repentance unto Life
Day 223 | Aug 11     | 2LBCF      | Ch. 15 §5           | Of Repentance unto Life
Day 224 | Aug 12     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day 225 | Aug 13     | Catechism  | Q&A #65              | The Baptist Catechism (Keach's)
Day 226 | Aug 14     | 2LBCF      | Ch. 15 §6           | Of Repentance unto Life
Day 227 | Aug 15     | 2LBCF      | Ch. 16 §1           | Of Good Works
Day 228 | Aug 16     | Catechism  | Q&A #66              | The Baptist Catechism (Keach's)
Day 229 | Aug 17     | 2LBCF      | Ch. 16 §2           | Of Good Works
Day 230 | Aug 18     | 2LBCF      | Ch. 16 §3           | Of Good Works
Day 231 | Aug 19     | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day 232 | Aug 20     | Catechism  | Q&A #67              | The Baptist Catechism (Keach's)
Day 233 | Aug 21     | 2LBCF      | Ch. 16 §4           | Of Good Works
Day 234 | Aug 22     | 2LBCF      | Ch. 16 §5           | Of Good Works
Day 235 | Aug 23     | Catechism  | Q&A #68              | The Baptist Catechism (Keach's)
Day 236 | Aug 24     | 2LBCF      | Ch. 16 §6           | Of Good Works
Day 237 | Aug 25     | 2LBCF      | Ch. 16 §7           | Of Good Works
Day 238 | Aug 26     | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day 239 | Aug 27     | Catechism  | Q&A #69              | The Baptist Catechism (Keach's)
Day 240 | Aug 28     | 2LBCF      | Ch. 17 §1           | Of Perseverance of the Saints
