Day,Date,Source,Reading,Detail
1,Jan 1,Catechism,Q&A #1,The Baptist Catechism (Keach's)
2,Jan 2,1LBCF,Article 1,The Holy Scriptures
3,Jan 3,2LBCF,Ch. 1 §1,Of the Holy Scriptures
4,Jan 4,Catechism,Q&A #2,The Baptist Catechism (Keach's)
5,Jan 5,1LBCF,Article 2,Of God
6,Jan 6,2LBCF,Ch. 1 §2,Of the Holy Scriptures
7,Jan 7,Review,Weekly review & reflection,Revisit your favourite reading from this week
8,Jan 8,Catechism,Q&A #3,The Baptist Catechism (Keach's)
9,Jan 9,1LBCF,Article 3,Of the Decrees of God
10,Jan 10,2LBCF,Ch. 1 §3,Of the Holy Scriptures
11,Jan 11,Catechism,Q&A #4,The Baptist Catechism (Keach's)
12,Jan 12,1LBCF,Article 4,Of Creation
13,Jan 13,2LBCF,Ch. 1 §4,Of the Holy Scriptures
14,Jan 14,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
15,Jan 15,Catechism,Q&A #5,The Baptist Catechism (Keach's)
16,Jan 16,1LBCF,Article 5,Of Providence
17,Jan 17,2LBCF,Ch. 1 §5,Of the Holy Scriptures
18,Jan 18,Catechism,Q&A #6,The Baptist Catechism (Keach's)
19,Jan 19,1LBCF,Article 6,Of the Fall and Original Sin
20,Jan 20,2LBCF,Ch. 1 §6,Of the Holy Scriptures
21,Jan 21,Review,Weekly review & reflection,Write a short reflection — what stood out most?
22,Jan 22,Catechism,Q&A #7,The Baptist Catechism (Keach's)
23,Jan 23,1LBCF,Article 7,Of the Covenant of God
24,Jan 24,2LBCF,Ch. 1 §7,Of the Holy Scriptures
25,Jan 25,Catechism,Q&A #8,The Baptist Catechism (Keach's)
26,Jan 26,1LBCF,Article 8,Of Christ the Mediator
27,Jan 27,2LBCF,Ch. 1 §8,Of the Holy Scriptures
28,Jan 28,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
29,Jan 29,Catechism,Q&A #9,The Baptist Catechism (Keach's)
30,Jan 30,1LBCF,Article 9,Of Free Will
31,Jan 31,2LBCF,Ch. 1 §9,Of the Holy Scriptures
32,Feb 1,Catechism,Q&A #10,The Baptist Catechism (Keach's)
33,Feb 2,1LBCF,Article 10,Of Effectual Calling
34,Feb 3,2LBCF,Ch. 1 §10,Of the Holy Scriptures
35,Feb 4,Review,Weekly review & reflection,Pray through a doctrine you studied this week
36,Feb 5,Catechism,Q&A #11,The Baptist Catechism (Keach's)
37,Feb 6,1LBCF,Article 11,Of Justification
38,Feb 7,2LBCF,Ch. 2 §1,Of God and of the Holy Trinity
39,Feb 8,Catechism,Q&A #12,The Baptist Catechism (Keach's)
40,Feb 9,1LBCF,Article 12,Of Adoption
41,Feb 10,2LBCF,Ch. 2 §2,Of God and of the Holy Trinity
42,Feb 11,Review,Weekly review & reflection,Read a related passage from the Psalms
43,Feb 12,Catechism,Q&A #13,The Baptist Catechism (Keach's)
44,Feb 13,1LBCF,Article 13,Of Sanctification
45,Feb 14,2LBCF,Ch. 2 §3,Of God and of the Holy Trinity
46,Feb 15,Catechism,Q&A #14,The Baptist Catechism (Keach's)
47,Feb 16,1LBCF,Article 14,Of Saving Faith
48,Feb 17,2LBCF,Ch. 3 §1,Of God's Decree
49,Feb 18,Review,Weekly review & reflection,Journal your thoughts on this week's theme
50,Feb 19,Catechism,Q&A #15,The Baptist Catechism (Keach's)
51,Feb 20,1LBCF,Article 15,Of Repentance and Salvation
52,Feb 21,2LBCF,Ch. 3 §2,Of God's Decree
53,Feb 22,Catechism,Q&A #16,The Baptist Catechism (Keach's)
54,Feb 23,1LBCF,Article 16,Of Good Works
55,Feb 24,2LBCF,Ch. 3 §3,Of God's Decree
56,Feb 25,Review,Weekly review & reflection,Revisit your favourite reading from this week
57,Feb 26,Catechism,Q&A #17,The Baptist Catechism (Keach's)
58,Feb 27,1LBCF,Article 17,Of Perseverance of Saints
59,Feb 28,2LBCF,Ch. 3 §4,Of God's Decree
60,Mar 1,Catechism,Q&A #18,The Baptist Catechism (Keach's)
61,Mar 2,1LBCF,Article 18,Of the Assurance of Salvation
62,Mar 3,2LBCF,Ch. 3 §5,Of God's Decree
63,Mar 4,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
64,Mar 5,Catechism,Q&A #19,The Baptist Catechism (Keach's)
65,Mar 6,1LBCF,Article 19,Of the Law of God
66,Mar 7,2LBCF,Ch. 3 §6,Of God's Decree
67,Mar 8,Catechism,Q&A #20,The Baptist Catechism (Keach's)
68,Mar 9,1LBCF,Article 20,Of the Gospel
69,Mar 10,2LBCF,Ch. 3 §7,Of God's Decree
70,Mar 11,Review,Weekly review & reflection,Write a short reflection — what stood out most?
71,Mar 12,Catechism,Q&A #21,The Baptist Catechism (Keach's)
72,Mar 13,1LBCF,Article 21,Of Christian Liberty
73,Mar 14,2LBCF,Ch. 4 §1,Of Creation
74,Mar 15,Catechism,Q&A #22,The Baptist Catechism (Keach's)
75,Mar 16,1LBCF,Article 22,Of Worship and the Sabbath
76,Mar 17,2LBCF,Ch. 4 §2,Of Creation
77,Mar 18,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
78,Mar 19,Catechism,Q&A #23,The Baptist Catechism (Keach's)
79,Mar 20,1LBCF,Article 23,Of Oaths and Vows
80,Mar 21,2LBCF,Ch. 4 §3,Of Creation
81,Mar 22,Catechism,Q&A #24,The Baptist Catechism (Keach's)
82,Mar 23,1LBCF,Article 24,Of the Civil Magistrate
83,Mar 24,2LBCF,Ch. 4 §4,Of Creation
84,Mar 25,Review,Weekly review & reflection,Pray through a doctrine you studied this week
85,Mar 26,Catechism,Q&A #25,The Baptist Catechism (Keach's)
86,Mar 27,1LBCF,Article 25,Of Marriage
87,Mar 28,2LBCF,Ch. 5 §1,Of Divine Providence
88,Mar 29,Catechism,Q&A #26,The Baptist Catechism (Keach's)
89,Mar 30,1LBCF,Article 26,Of the Church
90,Mar 31,2LBCF,Ch. 5 §2,Of Divine Providence
